"id","cond","th","outl","group"
1002,1,1.01111351748291,0,1
1002,2,-15.2643041240913,1,1
1002,3,3.90056534285714,0,1
1002,4,-8.73415582601572,0,1
1003,1,0.733295009332982,0,1
1003,2,-20.1367568983517,0,1
1003,3,2.22067945714286,0,1
1003,4,-5.93400685260497,1,1
1004,1,1.03948215154246,0,1
1004,2,-12.4298799323319,1,1
1004,3,10.0549699642857,1,1
1004,4,-3.28352558220301,0,1
1006,1,2.22971178452323,0,1
1006,2,-8.70085127327405,1,1
1006,3,7.26295825,1,1
1006,4,-1.8521738493226,0,1
1007,1,2.40514431821973,0,1
1007,2,-16.8529824923363,0,1
1007,3,9.21240668571429,0,1
1007,4,-2.13582707480932,0,1
1008,1,1.06399456280879,0,1
1008,2,-10.113457811676,1,1
1008,3,16.2751268285714,0,1
1008,4,-0.200678173812887,0,1
1009,1,3.16517185604349,0,1
1009,2,-5.39018369462091,0,1
1009,3,23.9209667695238,0,1
1009,4,3.13977059395822,0,1
1010,1,0.782961238305936,1,2
1010,2,-10.1764545222861,1,2
1010,3,8.47595066190476,0,2
1010,4,-2.91126754360899,1,2
1011,1,2.96994751618075,0,1
1011,2,-6.45233937054735,0,1
1011,3,118.464448785714,0,1
1011,4,2.45837937099031,0,1
1012,1,4.18409434395869,0,1
1012,2,-7.4999690399043,0,1
1012,3,45.6009996770833,1,1
1012,4,-1.58986220759508,0,1
1013,1,1.59023298632012,0,2
1013,2,-12.9924425069378,0,2
1013,3,10.1343452142857,1,2
1013,4,-3.72185034873012,1,2
1014,1,2.58410453331526,0,1
1014,2,-16.8740292027232,0,1
1014,3,30.0109465656288,0,1
1014,4,-1.92916235262178,1,1
1015,1,2.44511952503286,0,1
1015,2,-18.1460712203975,0,1
1015,3,14.8370736702381,0,1
1015,4,-3.09506023785332,1,1
1016,1,1.76577600064832,1,2
1016,2,-9.69086746176158,0,2
1016,3,28.8367757206349,0,2
1016,4,-2.0135591412399,0,2
1017,1,2.20027239909039,0,1
1017,2,-14.008792997892,0,1
1017,3,12.7185761358225,1,1
1017,4,-3.75140995638547,0,1
1018,1,3.59058452596851,0,1
1018,2,-2.11648585981301,1,1
1018,3,213.321347194048,0,1
1018,4,-0.650037877325507,0,1
1019,1,1.95963713314937,0,1
1019,2,-9.8935958007009,0,1
1019,3,200.071541790476,0,1
1019,4,0.882288910130226,0,1
1020,1,1.2821830108659,0,2
1020,2,-7.93891532367978,0,2
1020,3,34.6298901904762,1,2
1020,4,-1.86642573988809,1,2
1021,1,1.26327577515454,0,1
1021,2,-10.1823554004675,1,1
1021,3,10.4324094379121,1,1
1021,4,-2.53540777667039,1,1
1022,1,2.29887668996093,0,1
1022,2,-17.495530858127,0,1
1022,3,41.671948335,0,1
1022,4,-4.22072306352291,0,1
1023,1,1.26104779696473,0,1
1023,2,-17.812238744881,0,1
1023,3,4.00355214017858,1,1
1023,4,-4.56880443202662,0,1
1024,1,2.13967596134374,0,1
1024,2,-19.2583794195904,0,1
1024,3,20.822005368254,0,1
1024,4,-3.51509096470246,0,1
1026,1,1.70996641861278,0,1
1026,2,-10.7180004407347,0,1
1026,3,54.2645358218254,0,1
1026,4,-2.38745315354299,0,1
1027,1,1.61762340927429,0,1
1027,2,-10.9610768573572,1,1
1027,3,62.4127108290476,0,1
1027,4,-2.13608698413245,1,1
1028,1,2.70691782528025,0,1
1028,2,-3.24670012097612,0,1
1028,3,156.693418619048,0,1
1028,4,1.04659479057909,0,1
1029,1,4.92377941052145,0,1
1029,2,-8.48768026981597,0,1
1029,3,146.215577479654,0,1
1029,4,3.18473164033739,0,1
1030,1,0.503973801325463,0,1
1030,2,-7.65774626368227,0,1
1030,3,25.3279513752381,0,1
1030,4,-9.40607700626641,0,1
1031,1,0.7775727261446,0,1
1031,2,-14.3583229400136,0,1
1031,3,4.54740772483766,1,1
1031,4,-1.93657585368877,0,1
1032,1,0.796660913412643,1,1
1032,2,-11.433529582812,0,1
1032,3,30.0130020925758,0,1
1032,4,-4.09189077219876,0,1
1033,1,0.849753266193899,0,1
1033,2,-8.43161618597964,0,1
1033,3,25.6539457489178,0,1
1033,4,-6.99418554676492,0,1
1034,1,4.58725520708766,0,1
1034,2,-8.26694757617022,0,1
1034,3,68.5649482071429,1,1
1034,4,6.98995979993604,0,1
1035,1,1.13526527533475,0,1
1035,2,-15.618286393987,0,1
1035,3,8.36467201785714,1,1
1035,4,-5.94834084674857,0,1
1036,1,1.97563067427315,0,1
1036,2,-10.1943972289226,0,1
1036,3,70.6094353272727,0,1
1036,4,-2.93273177923486,0,1
1037,1,1.17996780037884,1,1
1037,2,-13.9533544734935,0,1
1037,3,16.0277475922619,1,1
1037,4,-1.10683892219652,0,1
1038,1,1.14548100942759,0,1
1038,2,-8.45407931041878,0,1
1038,3,226.965547157172,0,1
1038,4,-3.17087617420385,0,1
1040,1,1.93053100370278,0,1
1040,2,-6.80432803649557,0,1
1040,3,33.377461825,0,1
1040,4,-2.8340041093288,0,1
1041,1,1.84203652001243,0,1
1041,2,-12.964432263938,0,1
1041,3,21.3930276607143,1,1
1041,4,-1.88844524453217,0,1
